id,name,trait,variants,license_class,license,first_author,journal,year
PGS000016,GPS_AF,Atrial fibrillation,6730541,other,Freely available to the academic community for research use. Parties interested in using the scores for commercial purposes should contact the Broad Office of Strategic Alliances and Partnering (partnering@broadinstitute.org).,Khera AV,Nat Genet,2018
PGS000017,GPS_IBD,Inflammatory bowel disease,6907112,other,Freely available to the academic community for research use. Parties interested in using the scores for commercial purposes should contact the Broad Office of Strategic Alliances and Partnering (partnering@broadinstitute.org).,Khera AV,Nat Genet,2018
PGS000018,metaGRS_CAD,Coronary artery disease,1745179,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Inouye M,J Am Coll Cardiol,2018
PGS000019,GRS_CAD,Coronary artery disease,192,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Paquette M,J Clin Lipidol,2017
PGS000020,dGRS1000,Type 2 diabetes (T2D),7502,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Läll K,Genet Med,2016
PGS000021,GRS1,Type 1 diabetes (T1D),33,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Oram RA,Diabetes Care,2015
PGS000022,T1D_GRS,Type 1 diabetes (T1D),37,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Perry DJ,Sci Rep,2018
PGS000023,AA_GRS,Type 1 diabetes (T1D),7,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Onengut-Gumuscu S,Diabetes Care,2019
PGS000024,GRS2,Type 1 diabetes (T1D),85,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Sharp SA,Diabetes Care,2019
PGS000025,GRS,Alzheimer's disease,19,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Chouraki V,J Alzheimers Dis,2016
PGS000026,PHS,Alzheimer's disease,33,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Desikan RS,PLoS Med,2017
PGS000027,GPS_BMI,Body mass index (BMI),2100302,other,Freely available to the academic community for research use. Parties interested in using the scores for commercial purposes should contact the Broad Office of Strategic Alliances and Partnering (partnering@broadinstitute.org).,Khera AV,Cell,2019
PGS000028,PRS,Breast cancer,83,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Shieh Y,Breast Cancer Res Treat,2016
PGS000029,PRS_AS,Breast cancer,76,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Shieh Y,Breast Cancer Res Treat,2016
PGS000030,PrCa,Prostate cancer,147,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Schumacher FR,Nat Genet,2018
PGS000031,GRSt,Type 2 diabetes (T2D),62,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Vassy JL,Diabetes,2014
PGS000032,GRSB,Type 2 diabetes (based on SNPs involved in β-cell function),20,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Vassy JL,Diabetes,2014
PGS000033,GRSIR,Type 2 diabetes (based on SNPs involved in insulin resistance),10,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Vassy JL,Diabetes,2014
PGS000034,GRS_BMI,Adult body mass index (BMI),97,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Song M,Diabetes,2017
PGS000035,PRS_AF,Atrial fibrillation,1168,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Weng LC,Circulation,2017
PGS000036,gePS_T2D,Type 2 diabetes (T2D),171249,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Mahajan A,Nat Genet,2018
PGS000037,PGS_AST,Asthma,15,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Belsky DW,Lancet Respir Med,2013
PGS000038,PRS90,Stroke,90,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Rutten-Jacobs LC,BMJ,2018
PGS000039,metaGRS_ischaemicstroke,Ischemic stroke,3225583,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Abraham G,Nat Commun,2019
PGS000040,GRS_CeD,Coeliac disease,228,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Abraham G,PLoS Genet,2014
PGS000041,GRS-DQ2.5-CeD,Coeliac disease,2513,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Abraham G,Genome Med,2015
PGS000042,GRS-DQ2.5-CeD-imputed,Coeliac disease,3317,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Abraham G,Genome Med,2015
PGS000043,PRS_VTE,Venous thromboembolism,297,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Klarin D,Nat Genet,2019
PGS000044,PrCa66,Prostate cancer,66,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Pashayan N,Br J Cancer,2015
PGS000045,BCPRS_Overall,Breast cancer,88,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Kuchenbaecker KB,J Natl Cancer Inst,2017
PGS000046,BCPRS_ER+,Estrogen receptor [ER]-positive breast cancer,87,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Kuchenbaecker KB,J Natl Cancer Inst,2017
PGS000047,BCPRS_ER-,Estrogen receptor [ER]-negative breast cancer,53,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Kuchenbaecker KB,J Natl Cancer Inst,2017
PGS000048,OCPRS_Overall,Ovarian cancer,17,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Kuchenbaecker KB,J Natl Cancer Inst,2017
PGS000049,PRS103_PrCa,Prostate cancer,103,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Lecarpentier J,J Clin Oncol,2017
PGS000050,PRS44,Breast cancer,44,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Wen W,Breast Cancer Res,2016
PGS000051,PRS67,Breast cancer,67,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Zhang X,PLoS Med,2018
PGS000052,sPRS161,Breast cancer,161,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Lakeman IMM,J Med Genet,2019
PGS000053,ALZ21_NIA-LOAD,Alzheimer's disease (late onset),21,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Tosto G,Neurology,2017
PGS000054,ALZ21_EFIGA,Alzheimer's disease (late onset),21,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Tosto G,Neurology,2017
PGS000055,PRS_CRC,Colorectal cancer,76,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Schmit SL,J Natl Cancer Inst,2019
PGS000056,PD_PRS,Parkinson's disease,23,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Paul KC,JAMA Neurol,2018
PGS000057,CHD57,Coronary heart disease,57,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Natarajan P,Circulation,2017
PGS000058,CAD_GRS_204,Coronary artery disease,204,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Morieri ML,Diabetes Care,2018
PGS000059,CHD46,Coronary heart disease,46,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Hajek C,Circ Genom Precis Med,2018
PGS000060,GRS_HDL,HDL cholesterol,46,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Johnson L,PLoS One,2015
PGS000061,GRS_LDL,Low-density lipoprotein (LDL) cholesterol,37,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Johnson L,PLoS One,2015
PGS000062,GRS_TC,Total cholesterol,52,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Johnson L,PLoS One,2015
PGS000063,GRS_TG,Triglycerides,32,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Johnson L,PLoS One,2015
PGS000064,GLGC2017_HDL,HDL cholesterol,120,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Kuchenbaecker K,Nat Commun,2019
PGS000065,GLGC2017_LDL,LDL cholesterol,103,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Kuchenbaecker K,Nat Commun,2019
PGS000066,GLGC2017_TG,Triglycerides (TG),101,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Kuchenbaecker K,Nat Commun,2019
PGS000067,PCa_PHS,Prostate cancer,54,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Seibert TM,BMJ,2018
PGS000068,PRS_EOC,Epithelial ovarian cancer,15,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Yang X,J Med Genet,2018
PGS000069,PRS_sEOC,Serous epithelial ovarian cancer,15,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Yang X,J Med Genet,2018
PGS000070,PRS_LC_C,Lung cancer,19,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Dai J,Lancet Respir Med,2019
PGS000071,CC_Bladder,Bladder cancer,15,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000072,CC_Breast,Breast cancer,187,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000073,CC_Cervix,Cervical cancer,10,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000074,CC_Colorectal,Colorectal cancer,103,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000075,CC_Endo,Endometrial cancer,9,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000076,CC_Kidney,Kidney cancer,19,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000077,CC_LL,Lymphocytic leukemia,75,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000078,CC_Lung,Lung cancer,109,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000079,CC_Melanoma,Melanoma,24,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000080,CC_NHL,Non-Hodgkin's lymphoma,19,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000081,CC_Oral,Oral cavity and pharyngeal cancers,14,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000082,CC_Ovary,Ovarian cancer,36,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000083,CC_Pancreas,Pancreatic cancer,22,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000084,CC_Prostate,Prostate cancer,161,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000086,CC_Testis,Testicular cancer,52,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000087,CC_Thyroid,Thyroid cancer,12,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Graff RE,Nat Commun,2021
PGS000088,baso,Basophil count,9121,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000089,baso_p,Basophil percentage of white cells,5248,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000090,eo,Eosinophil count,22949,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000091,eo_p,Eosinophil percentage of white cells,24406,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000092,hct,Hematocrit,28214,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000093,hgb,Hemoglobin concentration,25090,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000094,hlr,High light scatter reticulocyte count,25493,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000095,hlr_p,High light scatter reticulocyte percentage of red cells,21957,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000096,irf,Immature fraction of reticulocytes,17850,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000097,lymph,Lymphocyte count,24646,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000098,lymph_p,Lymphocyte percentage of white cells,22363,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000099,mch,Mean corpuscular hemoglobin,27081,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000100,mchc,Mean corpuscular hemoglobin concentration,11832,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000101,mcv,Mean corpuscular volume,25001,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000102,mono,Monocyte count,28162,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000103,mono_p,Monocyte percentage of white cells,22843,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000104,mpv,Mean platelet volume,25745,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000105,neut,Neutrophil count,23864,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000106,neut_p,Neutrophil percentage of white cells,22049,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000107,pct,Platelet crit,30459,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
PGS000108,pdw,Platelet distribution width,25995,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Xu Y,Cell Genom,2022
